frameID,BVH,gBuffer,shadowMask,lighting,copy
212,0.0012672,9.14838,5.6689,1.53628,0.106861
213,0.0012416,8.62419,5.67037,1.58761,0.102547
214,0.0012352,8.68932,5.68764,1.54872,0.11513
215,0.0012672,7.96714,5.83393,1.75051,0.107091
216,0.00128,7.83779,5.80014,1.81,0.120896
217,0.0012736,7.73537,5.77546,1.77822,0.121888
218,0.0012544,8.05538,5.62346,1.62375,0.104019
219,0.0012544,8.70832,5.51882,1.56291,0.103123
220,0.00128,8.52904,5.61051,1.60847,0.109075
221,0.0012864,8.10684,5.65151,1.73473,0.111405
222,0.0012224,7.96461,5.57873,1.83076,0.12857
223,0.0013056,7.64354,5.46355,1.71757,0.111731
224,0.0012608,8.55034,5.47453,1.56671,0.104627
225,0.0012608,8.56604,5.57537,1.56935,0.108947
226,0.00128,7.63398,5.70246,1.75809,0.120128
227,0.00128,7.66924,5.63505,1.78006,0.128909
228,0.0011904,8.22678,5.52321,1.58734,0.138541
229,0.0012672,8.60899,5.50168,1.55967,0.104365
230,0.001248,8.14231,5.61435,1.65393,0.10553
231,0.0012736,7.67712,5.63585,1.82513,0.12809
232,0.0013376,7.70941,5.57214,1.76401,0.120486
233,0.0012672,8.45654,5.52872,1.59171,0.108147
234,0.0012608,7.8298,5.69258,1.68844,0.114854
235,0.0012864,7.74072,5.67645,1.78998,0.12569
236,0.0012736,7.59876,5.57471,1.67455,0.11449
237,0.0012672,8.31443,5.59178,1.54946,0.116685
238,0.0012864,8.40788,5.73055,1.65144,0.113299
239,0.0012672,7.85475,5.94886,1.74908,0.115354
240,0.0011904,7.62371,5.84657,1.8304,0.125907
241,0.0013056,7.47384,5.77999,1.71622,0.112742
242,0.0012672,8.05606,5.8909,1.55575,0.104045
243,0.0012608,7.75855,6.21357,1.64236,0.116282
244,0.001248,7.21148,6.24342,1.81827,0.122253
245,0.0012864,7.3836,6.22674,1.75768,0.116742
246,0.0012736,7.59187,6.07638,1.57351,0.136864
247,0.0014208,8.3598,6.1105,1.58644,0.102701
248,0.0012608,8.05872,6.0636,1.543,0.119789
249,0.0012864,7.60023,6.15147,1.74605,0.108378
